"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,0,-0.0241,0.0581,-0.1383,0.0903,1,0,1,1.0605,0.0546,0.9537,1.1668,1,1,1,0.9459,0.0755,0.7981,1.0929,1,1,1.5,1.4952,0.0992,1.3001,1.6907,1,1,0.3,0.3203,0.0583,0.2037,0.4322,1,1,0.2,0.263,0.0561,0.1539,0.3769,1,1,-0.15,-0.189,0.0424,-0.2722,-0.1066,1,1,0,-0.0067,0.0442,-0.0911,0.0791,1,0,1,1.0697,0.0581,0.9553,1.185,1,1,1,1.0137,0.0548,0.9048,1.1201,1,1,1.5,1.5221,0.0629,1.4017,1.648,1,1,2,2.1085,0.0751,1.9648,2.2594,1,1,0.1,0.1873,0.0625,0.0726,0.3078,1,1,0.1,0.1248,0.049,0.0518,0.2365,1,1,0.1,0.1375,0.053,0.0594,0.2617,1,1,0.1,0.1231,0.0492,0.051,0.2351,1,1,1,1.0121,0.051,0.9159,1.1141,1,1,1,1.0177,0.0501,0.9236,1.1186,1,1,0.3,0.3182,0.0343,0.2526,0.3861,1,1,0.3,0.3182,0.0343,0.2526,0.3861,1,1
2,0,0.0162,0.0563,-0.0934,0.1271,1,0,1,0.9787,0.0576,0.8658,1.0916,1,1,1,1.2077,0.0746,1.0614,1.3531,0,1,1.5,1.6204,0.0918,1.4403,1.7998,1,1,0.3,0.2788,0.0528,0.1756,0.3798,1,1,0.2,0.2628,0.0531,0.1672,0.3732,1,1,-0.15,-0.1137,0.0411,-0.1928,-0.0301,1,1,0,0.0604,0.0382,-0.0139,0.1384,1,0,1,1.0322,0.0551,0.9255,1.1416,1,1,1,1.0686,0.0522,0.9661,1.1701,1,1,1.5,1.5069,0.0609,1.39,1.6286,1,1,2,1.9316,0.0706,1.7975,2.0745,1,1,0.1,0.1248,0.0482,0.053,0.2346,1,1,0.1,0.1303,0.051,0.0526,0.2431,1,1,0.1,0.0922,0.0294,0.0489,0.1625,1,1,0.1,0.1015,0.0351,0.0499,0.185,1,1,1,1.0076,0.0478,0.9171,1.1035,1,1,1,1,0.0465,0.9144,1.0963,1,1,0.3,0.3149,0.0321,0.2539,0.3793,1,1,0.3,0.3149,0.0321,0.2539,0.3793,1,1
3,0,-0.0354,0.0528,-0.1392,0.0675,1,0,1,0.9867,0.0536,0.8823,1.0927,1,1,1,0.9091,0.0792,0.7554,1.0646,1,1,1.5,1.4976,0.0982,1.305,1.6891,1,1,0.3,0.2824,0.0538,0.1744,0.3795,1,1,0.2,0.1957,0.0553,0.0964,0.3126,1,1,-0.15,-0.1451,0.0399,-0.2231,-0.0649,1,1,0,0.0039,0.0389,-0.0718,0.0825,1,0,1,0.9432,0.0547,0.8346,1.05,1,1,1,1.0043,0.0509,0.9026,1.1043,1,1,1.5,1.6252,0.0634,1.5028,1.7521,0,1,2,2.096,0.0734,1.9561,2.2438,1,1,0.1,0.1059,0.0391,0.0506,0.2009,1,1,0.1,0.1077,0.0426,0.0476,0.208,1,1,0.1,0.0944,0.0327,0.0475,0.1721,1,1,0.1,0.1137,0.0416,0.0538,0.2117,1,1,1,1.0011,0.0471,0.9118,1.0951,1,1,1,0.9871,0.0467,0.9016,1.0837,1,1,0.3,0.3132,0.03,0.2559,0.3733,1,1,0.3,0.3132,0.03,0.2559,0.3733,1,1
4,0,0.0625,0.0526,-0.0401,0.1651,1,0,1,0.9334,0.0529,0.8297,1.0362,1,1,1,0.9436,0.0726,0.8006,1.0862,1,1,1.5,1.4111,0.0909,1.2331,1.5885,1,1,0.3,0.3926,0.0448,0.308,0.4868,0,1,0.2,0.3035,0.0579,0.1907,0.4152,1,1,-0.15,-0.1971,0.0415,-0.2721,-0.1119,1,1,0,-0.0155,0.0374,-0.0896,0.0592,1,0,1,0.8854,0.0588,0.7677,0.9988,0,1,1,0.9259,0.06,0.804,1.0392,1,1,1.5,1.4193,0.0611,1.3017,1.5423,1,1,2,1.893,0.0708,1.7576,2.0358,1,1,0.1,0.1007,0.0339,0.0488,0.1753,1,1,0.1,0.1237,0.0489,0.0521,0.2335,1,1,0.1,0.0987,0.0371,0.0469,0.1886,1,1,0.1,0.0951,0.0315,0.0485,0.1648,1,1,1,1.0757,0.0465,0.9878,1.1697,1,1,1,1.0748,0.0515,0.9774,1.1793,1,1,0.3,0.3088,0.0323,0.2473,0.3736,1,1,0.3,0.3088,0.0323,0.2473,0.3736,1,1
5,0,-0.0126,0.0581,-0.1265,0.1009,1,0,1,0.9762,0.0552,0.8683,1.0842,1,1,1,1.0678,0.0734,0.9244,1.2111,1,1,1.5,1.4426,0.0874,1.2705,1.6132,1,1,0.3,0.2902,0.052,0.188,0.3894,1,1,0.2,0.3086,0.0566,0.2003,0.4238,0,1,-0.15,-0.185,0.0422,-0.2691,-0.1033,1,1,0,0.0494,0.0377,-0.0285,0.1228,1,0,1,1.0837,0.0563,0.973,1.1937,1,1,1,0.9907,0.0598,0.8694,1.1047,1,1,1.5,1.464,0.0608,1.3473,1.5858,1,1,2,1.8131,0.0691,1.6814,1.9525,0,1,0.1,0.0917,0.03,0.0479,0.1626,1,1,0.1,0.1257,0.0486,0.0544,0.2358,1,1,0.1,0.0955,0.0341,0.047,0.1809,1,1,0.1,0.0973,0.0338,0.0501,0.176,1,1,1,1.0398,0.0483,0.9476,1.1366,1,1,1,1.0729,0.0514,0.9777,1.1794,1,1,0.3,0.276,0.0328,0.2113,0.3402,1,1,0.3,0.276,0.0328,0.2113,0.3402,1,1
6,0,0.0636,0.0565,-0.048,0.1746,1,0,1,0.9827,0.0528,0.8785,1.0862,1,1,1,1.096,0.0734,0.9514,1.2402,1,1,1.5,1.5943,0.0978,1.4054,1.7856,1,1,0.3,0.3275,0.0528,0.2215,0.4295,1,1,0.2,0.2318,0.0531,0.1332,0.3353,1,1,-0.15,-0.1784,0.042,-0.2605,-0.1008,1,1,0,-0.0188,0.0373,-0.0915,0.0511,1,0,1,1.014,0.0559,0.9038,1.1237,1,1,1,0.9606,0.0524,0.857,1.0627,1,1,1.5,1.4652,0.0613,1.3483,1.588,1,1,2,2.0553,0.0739,1.9144,2.2041,1,1,0.1,0.1165,0.0418,0.0543,0.2105,1,1,0.1,0.1334,0.0509,0.055,0.2423,1,1,0.1,0.1079,0.04,0.0516,0.2049,1,1,0.1,0.086,0.0273,0.0467,0.152,1,1,1,1.0368,0.0478,0.9453,1.1338,1,1,1,1.0487,0.0495,0.9565,1.1501,1,1,0.3,0.3268,0.0327,0.2642,0.392,1,1,0.3,0.3268,0.0327,0.2642,0.392,1,1
7,0,0.0883,0.0523,-0.0144,0.1916,1,0,1,0.9734,0.0562,0.8642,1.0834,1,1,1,0.9041,0.0733,0.7598,1.0468,1,1,1.5,1.4989,0.0953,1.3132,1.6863,1,1,0.3,0.2454,0.0623,0.1243,0.3728,1,1,0.2,0.2806,0.0551,0.1761,0.3898,1,1,-0.15,-0.1663,0.043,-0.2526,-0.0852,1,1,0,0.0469,0.0377,-0.0295,0.1181,1,0,1,0.9444,0.0555,0.8308,1.0503,1,1,1,1.0274,0.0558,0.9164,1.1353,1,1,1.5,1.4921,0.0608,1.3743,1.6137,1,1,2,1.9938,0.073,1.855,2.1407,1,1,0.1,0.1251,0.0506,0.0527,0.2401,1,1,0.1,0.1084,0.0397,0.051,0.2022,1,1,0.1,0.103,0.0374,0.051,0.1938,1,1,0.1,0.1222,0.0486,0.0521,0.2333,1,1,1,0.9607,0.051,0.865,1.0653,1,1,1,1.095,0.0523,0.9988,1.2028,1,1,0.3,0.3207,0.0324,0.2582,0.3845,1,1,0.3,0.3207,0.0324,0.2582,0.3845,1,1
8,0,-0.0144,0.0577,-0.127,0.0984,1,0,1,0.9855,0.0522,0.8838,1.0877,1,1,1,1.0428,0.0776,0.8906,1.1951,1,1,1.5,1.7458,0.0971,1.5582,1.9371,0,1,0.3,0.3085,0.0542,0.2019,0.4132,1,1,0.2,0.236,0.0502,0.1359,0.3344,1,1,-0.15,-0.1209,0.0414,-0.2015,-0.0416,1,1,0,-0.0163,0.0379,-0.0908,0.0572,1,0,1,1.0838,0.0549,0.9782,1.192,1,1,1,0.948,0.0525,0.8441,1.0501,1,1,1.5,1.5645,0.0617,1.447,1.688,1,1,2,2.0707,0.0737,1.9312,2.2205,1,1,0.1,0.1304,0.0469,0.0575,0.2334,1,1,0.1,0.1345,0.0537,0.0534,0.2527,1,1,0.1,0.1162,0.0458,0.0535,0.2294,1,1,0.1,0.1463,0.0505,0.0641,0.2507,1,1,1,0.9716,0.0475,0.8823,1.0679,1,1,1,1.0336,0.0467,0.9442,1.1275,1,1,0.3,0.3113,0.0308,0.2514,0.3723,1,1,0.3,0.3113,0.0308,0.2514,0.3723,1,1
9,0,0.0607,0.0534,-0.0439,0.1659,1,0,1,1.0685,0.0509,0.9682,1.1688,1,1,1,1.0498,0.0712,0.9109,1.1902,1,1,1.5,1.4982,0.0966,1.3086,1.6873,1,1,0.3,0.2824,0.0569,0.1741,0.393,1,1,0.2,0.213,0.0469,0.1267,0.3085,1,1,-0.15,-0.2589,0.0402,-0.3393,-0.1822,0,1,0,-0.0362,0.0382,-0.1115,0.0386,1,0,1,0.9713,0.0539,0.8643,1.0765,1,1,1,0.9235,0.049,0.8261,1.0194,1,1,1.5,1.4343,0.059,1.3208,1.5514,1,1,2,2.0535,0.0727,1.9146,2.2001,1,1,0.1,0.1119,0.0401,0.051,0.2033,1,1,0.1,0.0966,0.0364,0.0486,0.1848,1,1,0.1,0.1203,0.049,0.0487,0.2346,1,1,0.1,0.1081,0.0389,0.053,0.1981,1,1,1,0.9698,0.0474,0.8801,1.0652,1,1,1,1.0058,0.0448,0.9223,1.0981,1,1,0.3,0.2741,0.03,0.2167,0.3337,1,1,0.3,0.2741,0.03,0.2167,0.3337,1,1
10,0,0.001,0.0545,-0.1056,0.1073,1,0,1,1.0057,0.0547,0.8982,1.1123,1,1,1,1.0319,0.0762,0.882,1.1812,1,1,1.5,1.5254,0.0932,1.3419,1.7072,1,1,0.3,0.2761,0.0517,0.1767,0.3815,1,1,0.2,0.2028,0.0559,0.0912,0.3127,1,1,-0.15,-0.1871,0.0447,-0.2752,-0.1005,1,1,0,-0.0311,0.0383,-0.107,0.0423,1,0,1,0.9889,0.0524,0.886,1.0907,1,1,1,1.0321,0.0527,0.9279,1.135,1,1,1.5,1.5592,0.0609,1.4431,1.6823,1,1,2,1.9833,0.0707,1.8486,2.1264,1,1,0.1,0.1116,0.0451,0.05,0.2181,1,1,0.1,0.1145,0.0477,0.0499,0.2268,1,1,0.1,0.1041,0.0412,0.0484,0.2045,1,1,0.1,0.1515,0.0573,0.0613,0.2787,1,1,1,0.9509,0.0464,0.8619,1.0452,1,1,1,0.9998,0.0478,0.9095,1.0978,1,1,0.3,0.2558,0.0309,0.1966,0.3172,1,1,0.3,0.2558,0.0309,0.1966,0.3172,1,1
11,0,-0.0017,0.0549,-0.1091,0.1066,1,0,1,0.9871,0.0548,0.8797,1.0946,1,1,1,1.0774,0.0753,0.9296,1.2263,1,1,1.5,1.4893,0.0924,1.3089,1.6704,1,1,0.3,0.2758,0.0496,0.1782,0.3731,1,1,0.2,0.2556,0.0598,0.1335,0.3693,1,1,-0.15,-0.242,0.0439,-0.3225,-0.1517,0,1,0,-0.0197,0.0369,-0.0887,0.053,1,0,1,1.0072,0.0522,0.9044,1.1094,1,1,1,1.0164,0.0581,0.9004,1.1287,1,1,1.5,1.5381,0.0602,1.4232,1.6589,1,1,2,1.9438,0.0714,1.8076,2.0879,1,1,0.1,0.1007,0.0371,0.0506,0.1899,1,1,0.1,0.155,0.0577,0.0564,0.2701,1,1,0.1,0.1052,0.0412,0.0463,0.2007,1,1,0.1,0.0877,0.0298,0.0461,0.1607,1,1,1,0.9723,0.0445,0.8878,1.0627,1,1,1,1.0089,0.0507,0.9129,1.1117,1,1,0.3,0.2473,0.0313,0.1884,0.3113,1,1,0.3,0.2473,0.0313,0.1884,0.3113,1,1
12,0,0.0229,0.0554,-0.0867,0.1315,1,0,1,1.0371,0.0522,0.9349,1.1398,1,1,1,1.0133,0.0716,0.8722,1.1526,1,1,1.5,1.4176,0.0937,1.2337,1.6018,1,1,0.3,0.2787,0.0569,0.1655,0.3921,1,1,0.2,0.1643,0.0497,0.0741,0.2635,1,1,-0.15,-0.1789,0.0415,-0.2591,-0.093,1,1,0,9e-04,0.043,-0.0813,0.087,1,0,1,1.0118,0.0558,0.8997,1.1198,1,1,1,0.9781,0.0474,0.8863,1.0715,1,1,1.5,1.443,0.0605,1.3259,1.5632,1,1,2,2.0128,0.0708,1.8789,2.1557,1,1,0.1,0.108,0.0383,0.051,0.1972,1,1,0.1,0.0919,0.0294,0.0471,0.1606,1,1,0.1,0.1139,0.0445,0.0487,0.2134,1,1,0.1,0.0934,0.0326,0.0468,0.1691,1,1,1,1.0287,0.0507,0.9331,1.1311,1,1,1,0.9568,0.0439,0.8763,1.0481,1,1,0.3,0.3192,0.0322,0.2574,0.3845,1,1,0.3,0.3192,0.0322,0.2574,0.3845,1,1
13,0,-0.0334,0.0558,-0.1421,0.0772,1,0,1,1.0676,0.0524,0.9641,1.1706,1,1,1,0.9769,0.0733,0.8334,1.1209,1,1,1.5,1.5614,0.093,1.3796,1.7427,1,1,0.3,0.2586,0.0585,0.1404,0.3687,1,1,0.2,0.0753,0.0503,-0.023,0.1764,0,0,-0.15,-0.1232,0.044,-0.2064,-0.0362,1,1,0,-0.0433,0.0413,-0.1206,0.0388,1,0,1,1.0304,0.056,0.9201,1.14,1,1,1,1.0196,0.0458,0.9312,1.1101,1,1,1.5,1.4882,0.0604,1.3713,1.6092,1,1,2,2.0128,0.0696,1.8813,2.1536,1,1,0.1,0.1305,0.0492,0.0589,0.2409,1,1,0.1,0.1108,0.0423,0.0513,0.2082,1,1,0.1,0.1258,0.0481,0.054,0.2355,1,1,0.1,0.1176,0.0459,0.05,0.2242,1,1,1,0.9875,0.0489,0.8942,1.0871,1,1,1,0.9094,0.0424,0.8301,0.9958,0,1,0.3,0.2801,0.0321,0.2198,0.3456,1,1,0.3,0.2801,0.0321,0.2198,0.3456,1,1
14,0,-0.1208,0.0555,-0.2305,-0.0126,0,1,1,0.9763,0.0533,0.8712,1.0802,1,1,1,1.0184,0.077,0.8659,1.1673,1,1,1.5,1.3784,0.0974,1.1866,1.5687,1,1,0.3,0.3199,0.0557,0.2091,0.4228,1,1,0.2,0.2419,0.047,0.1493,0.3301,1,1,-0.15,-0.1724,0.0387,-0.2475,-0.095,1,1,0,-0.0307,0.0407,-0.1098,0.0512,1,0,1,0.9899,0.0579,0.8763,1.1029,1,1,1,0.973,0.0511,0.8733,1.0741,1,1,1.5,1.5372,0.0635,1.4164,1.6655,1,1,2,2.0786,0.0729,1.9396,2.2252,1,1,0.1,0.1569,0.0546,0.0651,0.2645,1,1,0.1,0.0933,0.0339,0.0452,0.1733,1,1,0.1,0.103,0.037,0.049,0.188,1,1,0.1,0.1306,0.0525,0.0536,0.2488,1,1,1,1.0492,0.0522,0.9506,1.1535,1,1,1,1.02,0.046,0.9333,1.1132,1,1,0.3,0.3077,0.0324,0.2449,0.3731,1,1,0.3,0.3077,0.0324,0.2449,0.3731,1,1
15,0,-0.0279,0.0559,-0.1379,0.0805,1,0,1,1.0818,0.0512,0.9815,1.1816,1,1,1,0.8961,0.0804,0.7385,1.0549,1,1,1.5,1.3221,0.0941,1.1381,1.5067,1,1,0.3,0.3278,0.0549,0.217,0.4344,1,1,0.2,0.2176,0.0529,0.1167,0.3213,1,1,-0.15,-0.1994,0.041,-0.2812,-0.1224,1,1,0,-0.0715,0.0381,-0.1454,0.0029,1,0,1,1.0109,0.058,0.8956,1.1242,1,1,1,0.9291,0.0524,0.824,1.0302,1,1,1.5,1.6495,0.065,1.5252,1.7802,0,1,2,1.9909,0.0713,1.8551,2.1345,1,1,0.1,0.161,0.0574,0.0634,0.274,1,1,0.1,0.1182,0.0432,0.0544,0.2176,1,1,0.1,0.0982,0.0346,0.0479,0.1793,1,1,0.1,0.11,0.0419,0.0514,0.2089,1,1,1,1.0148,0.0491,0.9223,1.1142,1,1,1,1.015,0.0462,0.93,1.1111,1,1,0.3,0.2763,0.0311,0.2158,0.3374,1,1,0.3,0.2763,0.0311,0.2158,0.3374,1,1
16,0,-0.0056,0.055,-0.1132,0.1026,1,0,1,0.9802,0.0543,0.8737,1.0864,1,1,1,0.8723,0.071,0.7335,1.0116,1,1,1.5,1.536,0.1012,1.3368,1.7343,1,1,0.3,0.3504,0.0572,0.2392,0.4536,1,1,0.2,0.1263,0.0543,0.0265,0.2331,1,1,-0.15,-0.1436,0.0406,-0.2224,-0.063,1,1,0,-0.0401,0.0435,-0.1293,0.0399,1,0,1,0.975,0.0579,0.8587,1.087,1,1,1,1.0543,0.0479,0.961,1.1488,1,1,1.5,1.3963,0.0608,1.2791,1.518,1,1,2,2.1777,0.0744,2.0369,2.3273,0,1,0.1,0.0972,0.0336,0.0494,0.177,1,1,0.1,0.1001,0.0378,0.0477,0.1923,1,1,0.1,0.1308,0.0542,0.0536,0.2543,1,1,0.1,0.1047,0.0397,0.0479,0.2016,1,1,1,1.0225,0.0494,0.9293,1.1214,1,1,1,0.9214,0.0438,0.8409,1.0123,1,1,0.3,0.2868,0.0304,0.2283,0.3469,1,1,0.3,0.2868,0.0304,0.2283,0.3469,1,1
17,0,-0.0654,0.0536,-0.1702,0.04,1,0,1,1.0307,0.0559,0.9211,1.1415,1,1,1,1.0321,0.0731,0.8882,1.1746,1,1,1.5,1.424,0.0924,1.2427,1.6051,1,1,0.3,0.2751,0.0568,0.153,0.3785,1,1,0.2,0.332,0.0545,0.226,0.4414,0,1,-0.15,-0.195,0.0431,-0.2796,-0.1106,1,1,0,0.0233,0.0394,-0.0519,0.1027,1,0,1,0.9707,0.0535,0.8656,1.0748,1,1,1,0.9945,0.0583,0.8783,1.1073,1,1,1.5,1.4771,0.06,1.3609,1.5974,1,1,2,1.9178,0.0717,1.782,2.0617,1,1,0.1,0.1054,0.0388,0.0505,0.1934,1,1,0.1,0.0967,0.031,0.0484,0.1682,1,1,0.1,0.1045,0.0393,0.0495,0.1969,1,1,0.1,0.103,0.0345,0.0509,0.1816,1,1,1,0.9843,0.047,0.8936,1.0789,1,1,1,1.1081,0.0523,1.0088,1.2139,0,1,0.3,0.3289,0.0314,0.269,0.3922,1,1,0.3,0.3289,0.0314,0.269,0.3922,1,1
18,0,0.0539,0.0551,-0.0534,0.1622,1,0,1,0.9584,0.0549,0.8501,1.0665,1,1,1,0.9436,0.0738,0.7984,1.0876,1,1,1.5,1.5307,0.0936,1.3465,1.714,1,1,0.3,0.2142,0.0567,0.1032,0.3175,1,1,0.2,0.2183,0.0534,0.1086,0.3162,1,1,-0.15,-0.1551,0.0444,-0.2424,-0.0692,1,1,0,-0.004,0.0411,-0.082,0.0783,1,0,1,1.0432,0.0511,0.9432,1.1427,1,1,1,1.0259,0.0517,0.9252,1.1278,1,1,1.5,1.5178,0.0591,1.4033,1.6352,1,1,2,1.9955,0.0715,1.8594,2.1397,1,1,0.1,0.0907,0.032,0.0463,0.1695,1,1,0.1,0.1164,0.044,0.0524,0.2166,1,1,0.1,0.1088,0.0426,0.0482,0.2155,1,1,0.1,0.1307,0.0486,0.0567,0.2394,1,1,1,0.9229,0.0456,0.8373,1.0155,1,1,1,1.0006,0.0464,0.9127,1.0946,1,1,0.3,0.2721,0.031,0.2122,0.3338,1,1,0.3,0.2721,0.031,0.2122,0.3338,1,1
19,0,-0.0108,0.0526,-0.1138,0.0917,1,0,1,0.9282,0.0517,0.8267,1.029,1,1,1,1.0847,0.0722,0.9435,1.2254,1,1,1.5,1.4565,0.0955,1.271,1.6442,1,1,0.3,0.2836,0.0596,0.1661,0.4007,1,1,0.2,0.1837,0.0521,0.0868,0.2802,1,1,-0.15,-0.1516,0.0404,-0.2284,-0.0725,1,1,0,0.0171,0.0394,-0.0645,0.0893,1,0,1,0.9432,0.0561,0.8305,1.0507,1,1,1,0.9638,0.0496,0.8655,1.0601,1,1,1.5,1.4484,0.0604,1.3321,1.5681,1,1,2,2.0378,0.0712,1.9039,2.1825,1,1,0.1,0.0924,0.0305,0.0471,0.1659,1,1,0.1,0.111,0.0418,0.0518,0.2122,1,1,0.1,0.122,0.0476,0.0518,0.2355,1,1,0.1,0.0877,0.0283,0.0468,0.1577,1,1,1,1.0023,0.0506,0.9083,1.1059,1,1,1,0.9616,0.0447,0.8779,1.0518,1,1,0.3,0.2896,0.0306,0.2306,0.3509,1,1,0.3,0.2896,0.0306,0.2306,0.3509,1,1
20,0,0.0314,0.0553,-0.0768,0.1401,1,0,1,0.9206,0.0562,0.81,1.0307,1,1,1,1.0673,0.0749,0.9203,1.2151,1,1,1.5,1.3624,0.0939,1.1783,1.5471,1,1,0.3,0.2743,0.0557,0.1665,0.3745,1,1,0.2,0.2452,0.0586,0.1323,0.3566,1,1,-0.15,-0.1558,0.0425,-0.2364,-0.07,1,1,0,-0.0153,0.0391,-0.0903,0.0633,1,0,1,1.0093,0.0538,0.9049,1.1149,1,1,1,1.0459,0.0548,0.9382,1.1529,1,1,1.5,1.5173,0.0609,1.3997,1.6391,1,1,2,1.9861,0.0715,1.8504,2.1299,1,1,0.1,0.1139,0.042,0.0537,0.2146,1,1,0.1,0.1113,0.0448,0.0488,0.2191,1,1,0.1,0.116,0.043,0.051,0.2134,1,1,0.1,0.0974,0.0339,0.0464,0.1758,1,1,1,0.9755,0.047,0.886,1.0683,1,1,1,1.0174,0.0501,0.9238,1.1187,1,1,0.3,0.2737,0.0308,0.215,0.3351,1,1,0.3,0.2737,0.0308,0.215,0.3351,1,1
21,0,0.0199,0.0551,-0.0883,0.1278,1,0,1,1.0371,0.0512,0.9361,1.1368,1,1,1,0.9764,0.0742,0.8305,1.1217,1,1,1.5,1.4326,0.093,1.25,1.6158,1,1,0.3,0.3042,0.0534,0.1961,0.4037,1,1,0.2,0.2358,0.0507,0.1392,0.3367,1,1,-0.15,-0.1597,0.0409,-0.2401,-0.0785,1,1,0,0.0248,0.0416,-0.055,0.1089,1,0,1,0.9889,0.0568,0.8792,1.1017,1,1,1,0.9283,0.0495,0.8302,1.0246,1,1,1.5,1.493,0.0614,1.3756,1.6152,1,1,2,1.9609,0.0703,1.8284,2.103,1,1,0.1,0.2064,0.0481,0.1108,0.2975,0,1,0.1,0.1073,0.0395,0.0512,0.2007,1,1,0.1,0.0994,0.0355,0.0473,0.1841,1,1,0.1,0.0973,0.0348,0.0482,0.1826,1,1,1,1.0066,0.0474,0.9159,1.1024,1,1,1,0.973,0.0448,0.8902,1.0651,1,1,0.3,0.2709,0.0318,0.2095,0.3337,1,1,0.3,0.2709,0.0318,0.2095,0.3337,1,1
22,0,-0.037,0.0531,-0.141,0.0674,1,0,1,1.0002,0.0555,0.8914,1.1087,1,1,1,0.9104,0.0759,0.761,1.0585,1,1,1.5,1.3369,0.0951,1.1515,1.5242,1,1,0.3,0.3278,0.0596,0.2122,0.441,1,1,0.2,0.1495,0.0507,0.0544,0.2551,1,1,-0.15,-0.1793,0.044,-0.2623,-0.0907,1,1,0,-0.0173,0.0402,-0.0973,0.0613,1,0,1,0.9538,0.0585,0.837,1.0662,1,1,1,1.0692,0.049,0.974,1.1666,1,1,1.5,1.5363,0.0631,1.4148,1.6627,1,1,2,2.0363,0.0711,1.9026,2.1812,1,1,0.1,0.1272,0.0507,0.0516,0.2408,1,1,0.1,0.1014,0.0341,0.0499,0.1814,1,1,0.1,0.1293,0.0523,0.0555,0.2488,1,1,0.1,0.1885,0.061,0.079,0.3059,1,1,1,0.9701,0.0539,0.8699,1.0791,1,1,1,0.9676,0.0447,0.8842,1.059,1,1,0.3,0.254,0.0317,0.1928,0.317,1,1,0.3,0.254,0.0317,0.1928,0.317,1,1
