"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[13]","CR_y1toy2","-0.15","-0.152023","0.0323843588789403","0.0134866666666666","0.032483938082279","0.03399","0.046363280028004","-0.2021925","-0.0922275","0.97","0.98",NA,"0.98","0"
"Level2Mean[14]","CR_y2toy1","-0.1","-0.099405","0.030787710210407","-0.00594999999999998","0.0309370340491388","0.033156","0.0717252322034706","-0.14861","-0.0352225","0.96","0.84",NA,"0.84","0"
"Level2Sigma[1]","SD_Burst1_y1",NA,"1.152327",NA,NA,"0.0991607845008715","0.104835","0.0572223740230555","0.9458625","1.3579375",NA,NA,NA,"1","0"
"Level2Sigma[2]","SD_Burst1_y2",NA,"0.807775",NA,NA,"0.0731593823598363","0.083941","0.147371632897802","0.683875","0.96036",NA,NA,NA,"1","0"
"Level2Sigma[3]","SD_Burst2_y1",NA,"1.74642",NA,NA,"0.120853851967381","0.139151","0.151398964408333","1.5104925","1.951835",NA,NA,NA,"1","0"
"Level2Sigma[4]","SD_Burst2_y2",NA,"1.194663",NA,NA,"0.0941098548441548","0.103442","0.0991622521498861","1.0289675","1.3518025",NA,NA,NA,"1","0"
"Level2Sigma[5]","SD_Burst3_y1",NA,"1.909292",NA,NA,"0.132020402983934","0.149368","0.131400879136665","1.6613375","2.1455875",NA,NA,NA,"1","0"
"Level2Sigma[6]","SD_Burst3_y2",NA,"1.369526",NA,NA,"0.106772648693806","0.113536","0.0633434815838409","1.2039225","1.5803475",NA,NA,NA,"1","0"
"Level2Sigma[7]","SD_Burst4_y1",NA,"1.933962",NA,NA,"0.126890862817882","0.151051","0.190400921276679","1.6980975","2.1723825",NA,NA,NA,"1","0"
"Level2Sigma[8]","SD_Burst4_y2",NA,"1.424145",NA,NA,"0.116681512799984","0.116745","0.000544106761148961","1.2115675","1.62877",NA,NA,NA,"1","0"
"Level2Sigma[9]","SD_Burst5_y1",NA,"1.951137",NA,NA,"0.120950452878504","0.152142","0.257886980818737","1.745255","2.188055",NA,NA,NA,"1","0"
"Level2Sigma[10]","SD_Burst5_y2",NA,"1.462901",NA,NA,"0.131405220669469","0.119104","-0.0936128763134246","1.24186","1.736085",NA,NA,NA,"1","0"
"Level2Sigma[11]","SD_AR1","0.1","0.11224","0.0262035646430023","0.1224","0.0232858651364195","0.035993","0.545701642998283","0.0834","0.16197","0.98","1",NA,"1","0"
"Level2Sigma[12]","SD_AR2","0.1","0.117752","0.0353722631450124","0.17752","0.030749287517409","0.035894","0.167311599648555","0.0831625","0.1909975","0.96","1",NA,"1","0"
"Level2Sigma[13]","SD_CR_y1toy2","0.1","0.105511","0.0219011575036572","0.0551099999999999","0.0213032358475363","0.031869","0.495969918752299","0.0788325","0.162455","1","1",NA,"1","0"
"Level2Sigma[14]","SD_CR_y2toy1","0.1","0.108372","0.0256187626555226","0.0837199999999999","0.0243341763241277","0.031823","0.307749215593832","0.0802225","0.1674975","0.99","1",NA,"1","0"
"sigma_innovation[1,1]","InnoVar_y1","1","0.998336","0.0358516722064676","-0.001664","0.0359934548483359","0.036696","0.0195186917906163","0.9364275","1.070085","0.96","1",NA,"1","0"
"sigma_innovation[2,2]","InnoVar_y2","1","1.003535","0.0411741557290493","0.00353500000000007","0.0412287885469668","0.035899","-0.129273469699341","0.922725","1.0784025","0.93","1",NA,"1","0"
"sigma_innovation[1,2]","InnoCov","0.3","0.300644","0.0266257995185121","0.00214666666666678","0.0267521067611808","0.026271","-0.0179838831190273","0.2635125","0.3516875","0.96","1",NA,"1","0"
"sigma_innovation[2,1]","InnoCov_sym","0.3","0.300644","0.0266257995185121","0.00214666666666678","0.0267521067611808","0.026271","-0.0179838831190273","0.2635125","0.3516875","0.96","1",NA,"1","0"
