"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Mean[11]","Est_Level2Mean[11]","se_Level2Mean[11]","LL_Level2Mean[11]","UL_Level2Mean[11]","cFlag_Level2Mean[11]","pFlag_Level2Mean[11]","Tru_Level2Mean[12]","Est_Level2Mean[12]","se_Level2Mean[12]","LL_Level2Mean[12]","UL_Level2Mean[12]","cFlag_Level2Mean[12]","pFlag_Level2Mean[12]","Tru_Level2Mean[13]","Est_Level2Mean[13]","se_Level2Mean[13]","LL_Level2Mean[13]","UL_Level2Mean[13]","cFlag_Level2Mean[13]","pFlag_Level2Mean[13]","Tru_Level2Mean[14]","Est_Level2Mean[14]","se_Level2Mean[14]","LL_Level2Mean[14]","UL_Level2Mean[14]","cFlag_Level2Mean[14]","pFlag_Level2Mean[14]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_Level2Sigma[11]","Est_Level2Sigma[11]","se_Level2Sigma[11]","LL_Level2Sigma[11]","UL_Level2Sigma[11]","cFlag_Level2Sigma[11]","pFlag_Level2Sigma[11]","Tru_Level2Sigma[12]","Est_Level2Sigma[12]","se_Level2Sigma[12]","LL_Level2Sigma[12]","UL_Level2Sigma[12]","cFlag_Level2Sigma[12]","pFlag_Level2Sigma[12]","Tru_Level2Sigma[13]","Est_Level2Sigma[13]","se_Level2Sigma[13]","LL_Level2Sigma[13]","UL_Level2Sigma[13]","cFlag_Level2Sigma[13]","pFlag_Level2Sigma[13]","Tru_Level2Sigma[14]","Est_Level2Sigma[14]","se_Level2Sigma[14]","LL_Level2Sigma[14]","UL_Level2Sigma[14]","cFlag_Level2Sigma[14]","pFlag_Level2Sigma[14]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,3.38008587561722,3.2229,0.138,2.9523,3.4953,1,1,2.6490919557642,2.4856,0.0865,2.3143,2.655,1,1,6.5592497625802,6.446,0.193,6.0666,6.8247,1,1,4.79549474076678,4.5052,0.1249,4.2596,4.7511,0,1,8.41991048086296,8.3264,0.2085,7.9084,8.7332,1,1,6.27213639876793,5.9021,0.1398,5.6272,6.1753,0,1,9.29394031721092,9.1736,0.2041,8.7706,9.5733,1,1,7.10490577112262,6.6942,0.1468,6.4057,6.984,0,1,9.68083248283218,9.5588,0.2093,9.1526,9.9702,1,1,7.54002818053297,7.1175,0.1551,6.8108,7.4212,0,1,0.3,0.2924,0.0159,0.2612,0.3236,1,1,0.2,0.2224,0.0139,0.1952,0.2498,1,1,-0.15,-0.1663,0.0145,-0.195,-0.1378,1,1,-0.1,-0.0736,0.0155,-0.1038,-0.043,1,1,1.16975723241009,1.3321,0.1006,1.1508,1.5442,1,1,0.818364051334181,0.8159,0.0646,0.6995,0.95,1,1,1.77224917802126,1.888,0.139,1.6394,2.184,1,1,1.22554713982381,1.2039,0.0902,1.0423,1.3955,1,1,1.92749400743346,2.0492,0.1497,1.7805,2.365,1,1,1.39038469211727,1.3553,0.1006,1.1741,1.5687,1,1,1.96107469695758,2.0144,0.1465,1.7511,2.3256,1,1,1.44296594681151,1.4297,0.1057,1.2409,1.6553,1,1,1.97661392972742,2.0541,0.1501,1.7843,2.3712,1,1,1.46479650840188,1.5204,0.1115,1.3201,1.7581,1,1,0.1,0.1118,0.0152,0.0831,0.1428,1,1,0.1,0.0819,0.014,0.0559,0.1106,1,1,0.1,0.0988,0.014,0.0725,0.1276,1,1,0.1,0.1089,0.0145,0.0816,0.1385,1,1,1,1.0189,0.015,0.9898,1.0488,1,1,1,0.9982,0.0147,0.97,1.0274,1,1,0.3,0.3122,0.011,0.291,0.334,1,1,0.3,0.3122,0.011,0.291,0.334,1,1
2,3.38008587561722,3.3694,0.1268,3.1208,3.6166,1,1,2.6490919557642,2.5164,0.0904,2.3402,2.6951,1,1,6.5592497625802,6.7157,0.1942,6.332,7.0984,1,1,4.79549474076678,4.682,0.1376,4.4117,4.9519,1,1,8.41991048086296,8.6671,0.206,8.2635,9.0736,1,1,6.27213639876793,6.1819,0.1561,5.8752,6.4907,1,1,9.29394031721092,9.5466,0.2127,9.1279,9.964,1,1,7.10490577112262,6.9829,0.1673,6.6529,7.3076,1,1,9.68083248283218,9.8131,0.2142,9.3902,10.2318,1,1,7.54002818053297,7.4274,0.1643,7.1063,7.7524,1,1,0.3,0.3066,0.0158,0.2755,0.3377,1,1,0.2,0.2213,0.0158,0.1904,0.2523,1,1,-0.15,-0.156,0.0151,-0.1856,-0.1259,1,1,-0.1,-0.1009,0.0142,-0.1289,-0.0729,1,1,1.16975723241009,1.2287,0.0938,1.061,1.4266,1,1,0.818364051334181,0.8534,0.0673,0.7323,0.9955,1,1,1.77224917802126,1.9134,0.1403,1.6601,2.2134,1,1,1.22554713982381,1.343,0.0995,1.164,1.5516,1,1,1.92749400743346,2.0274,0.1487,1.7615,2.3455,1,1,1.39038469211727,1.5279,0.1126,1.3258,1.7656,1,1,1.96107469695758,2.0915,0.1518,1.8196,2.4153,1,1,1.44296594681151,1.6369,0.12,1.4228,1.8909,1,1,1.97661392972742,2.121,0.1543,1.844,2.4498,1,1,1.46479650840188,1.6071,0.1176,1.3941,1.8544,1,1,0.1,0.1117,0.0151,0.0837,0.1428,1,1,0.1,0.1092,0.0147,0.0816,0.1394,1,1,0.1,0.1051,0.0141,0.0784,0.1341,1,1,0.1,0.0905,0.0142,0.0639,0.1195,1,1,1,1.012,0.0149,0.9832,1.0413,1,1,1,1.006,0.0149,0.9775,1.0354,1,1,0.3,0.2983,0.011,0.2768,0.3198,1,1,0.3,0.2983,0.011,0.2768,0.3198,1,1
3,3.38008587561722,3.4004,0.1142,3.1751,3.6247,1,1,2.6490919557642,2.5858,0.0912,2.407,2.7657,1,1,6.5592497625802,6.5735,0.1774,6.2246,6.9234,1,1,4.79549474076678,4.7467,0.1284,4.4948,4.9993,1,1,8.41991048086296,8.405,0.189,8.034,8.7783,1,1,6.27213639876793,6.2192,0.1457,5.931,6.5046,1,1,9.29394031721092,9.2642,0.1913,8.8851,9.6366,1,1,7.10490577112262,7.0458,0.1465,6.7603,7.3332,1,1,9.68083248283218,9.5652,0.1973,9.1746,9.9533,1,1,7.54002818053297,7.5165,0.1531,7.2163,7.8174,1,1,0.3,0.2871,0.0154,0.2568,0.3174,1,1,0.2,0.1966,0.0145,0.1682,0.2253,1,1,-0.15,-0.1492,0.0153,-0.1791,-0.119,1,1,-0.1,-0.0695,0.0151,-0.0992,-0.0398,0,1,1.16975723241009,1.0883,0.0841,0.9375,1.2676,1,1,0.818364051334181,0.87,0.0681,0.7473,1.0138,1,1,1.77224917802126,1.7421,0.1278,1.5127,2.0142,1,1,1.22554713982381,1.2474,0.0936,1.0802,1.4462,1,1,1.92749400743346,1.87,0.1374,1.6215,2.1645,1,1,1.39038469211727,1.4226,0.1051,1.233,1.6445,1,1,1.96107469695758,1.8893,0.138,1.6416,2.1823,1,1,1.44296594681151,1.4373,0.1056,1.2485,1.6626,1,1,1.97661392972742,1.9524,0.1431,1.6961,2.257,1,1,1.46479650840188,1.4995,0.1097,1.3027,1.7323,1,1,0.1,0.1042,0.0149,0.0756,0.1342,1,1,0.1,0.0907,0.0146,0.0632,0.1204,1,1,0.1,0.1075,0.0146,0.0801,0.1372,1,1,0.1,0.1043,0.0146,0.0768,0.1343,1,1,1,1.0085,0.0148,0.9797,1.0379,1,1,1,1.0211,0.0149,0.9923,1.0509,1,1,0.3,0.2944,0.011,0.2729,0.3161,1,1,0.3,0.2944,0.011,0.2729,0.3161,1,1
4,3.38008587561722,3.3315,0.1154,3.1049,3.5565,1,1,2.6490919557642,2.577,0.0816,2.4148,2.7381,1,1,6.5592497625802,6.618,0.1662,6.2913,6.9419,1,1,4.79549474076678,4.59,0.1301,4.3357,4.8486,1,1,8.41991048086296,8.4861,0.181,8.134,8.8405,1,1,6.27213639876793,6.0193,0.1466,5.7309,6.3048,1,1,9.29394031721092,9.3876,0.1829,9.0261,9.7442,1,1,7.10490577112262,6.916,0.1476,6.6271,7.2065,1,1,9.68083248283218,9.7571,0.1878,9.3873,10.1262,1,1,7.54002818053297,7.2828,0.1563,6.9763,7.5913,1,1,0.3,0.2826,0.0144,0.2545,0.3107,1,1,0.2,0.2044,0.0154,0.1741,0.2347,1,1,-0.15,-0.1805,0.0152,-0.2101,-0.1509,0,1,-0.1,-0.1099,0.0155,-0.1403,-0.0794,1,1,1.16975723241009,1.1077,0.0849,0.9544,1.2887,1,1,0.818364051334181,0.7613,0.0615,0.6515,0.8921,1,1,1.77224917802126,1.6284,0.1195,1.4148,1.8799,1,1,1.22554713982381,1.2632,0.0947,1.0936,1.4644,1,1,1.92749400743346,1.7751,0.1298,1.5423,2.0501,1,1,1.39038469211727,1.4302,0.1057,1.2402,1.6545,1,1,1.96107469695758,1.7976,0.1322,1.5615,2.0787,1,1,1.44296594681151,1.4409,0.1064,1.25,1.6647,1,1,1.97661392972742,1.8269,0.134,1.587,2.1087,1,1,1.46479650840188,1.5347,0.1135,1.332,1.7744,1,1,0.1,0.089,0.0142,0.0622,0.1177,1,1,0.1,0.1051,0.0147,0.0776,0.1351,1,1,0.1,0.1046,0.0142,0.0779,0.1336,1,1,0.1,0.1111,0.0142,0.0842,0.1403,1,1,1,0.9999,0.0147,0.9714,1.0291,1,1,1,1.0151,0.0149,0.9862,1.0449,1,1,0.3,0.308,0.0109,0.2869,0.3296,1,1,0.3,0.308,0.0109,0.2869,0.3296,1,1
5,3.38008587561722,3.3738,0.1365,3.1037,3.6417,1,1,2.6490919557642,2.7007,0.0812,2.5404,2.8604,1,1,6.5592497625802,6.5653,0.1885,6.1951,6.9344,1,1,4.79549474076678,4.8247,0.1199,4.589,5.0623,1,1,8.41991048086296,8.4035,0.2059,7.9985,8.8053,1,1,6.27213639876793,6.3249,0.1308,6.0664,6.5819,1,1,9.29394031721092,9.1697,0.2044,8.7712,9.5723,1,1,7.10490577112262,7.1329,0.1366,6.8631,7.4012,1,1,9.68083248283218,9.5539,0.1997,9.1617,9.9446,1,1,7.54002818053297,7.5424,0.1342,7.2784,7.8063,1,1,0.3,0.2932,0.0152,0.2632,0.3228,1,1,0.2,0.2189,0.0166,0.1865,0.2516,1,1,-0.15,-0.16,0.0147,-0.1889,-0.1313,1,1,-0.1,-0.0815,0.0169,-0.1151,-0.0487,1,1,1.16975723241009,1.3195,0.1,1.1401,1.5307,1,1,0.818364051334181,0.7585,0.0617,0.6483,0.8902,1,1,1.77224917802126,1.8548,0.1362,1.6106,2.1403,1,1,1.22554713982381,1.147,0.0867,0.9915,1.3306,1,1,1.92749400743346,2.036,0.1477,1.7701,2.3489,1,1,1.39038469211727,1.2779,0.0963,1.106,1.4823,1,1,1.96107469695758,2.0104,0.1465,1.7488,2.3188,1,1,1.44296594681151,1.3253,0.0984,1.1491,1.5328,1,1,1.97661392972742,1.9713,0.144,1.7164,2.276,1,1,1.46479650840188,1.3061,0.0971,1.1317,1.5123,1,1,0.1,0.1019,0.0149,0.0739,0.1326,1,1,0.1,0.1234,0.0149,0.0958,0.1541,1,1,0.1,0.1011,0.0147,0.0734,0.1313,1,1,0.1,0.1303,0.0149,0.1027,0.1611,0,1,1,1.0182,0.015,0.989,1.0479,1,1,1,1.0126,0.0149,0.9837,1.0422,1,1,0.3,0.2813,0.0108,0.2604,0.3027,1,1,0.3,0.2813,0.0108,0.2604,0.3027,1,1
6,3.38008587561722,3.4169,0.1234,3.1742,3.661,1,1,2.6490919557642,2.5011,0.0797,2.3447,2.6572,1,1,6.5592497625802,6.6024,0.1857,6.2336,6.9652,1,1,4.79549474076678,4.5928,0.1203,4.3564,4.8282,1,1,8.41991048086296,8.4104,0.1915,8.0375,8.787,1,1,6.27213639876793,6.074,0.144,5.7905,6.3586,1,1,9.29394031721092,9.2455,0.1934,8.864,9.6252,1,1,7.10490577112262,6.923,0.1537,6.6182,7.2237,1,1,9.68083248283218,9.6133,0.1954,9.2284,9.9944,1,1,7.54002818053297,7.4294,0.1536,7.1274,7.7309,1,1,0.3,0.3223,0.0146,0.2938,0.3508,1,1,0.2,0.2056,0.0178,0.1707,0.2402,1,1,-0.15,-0.1595,0.0139,-0.1868,-0.1322,1,1,-0.1,-0.0943,0.0134,-0.1205,-0.068,1,1,1.16975723241009,1.1912,0.092,1.0258,1.3862,1,1,0.818364051334181,0.7418,0.0604,0.6322,0.8699,1,1,1.77224917802126,1.8346,0.1354,1.5924,2.1233,1,1,1.22554713982381,1.1719,0.0885,1.0128,1.3593,1,1,1.92749400743346,1.8788,0.1384,1.63,2.1708,1,1,1.39038469211727,1.4084,0.1041,1.2216,1.6291,1,1,1.96107469695758,1.9093,0.1401,1.6581,2.206,1,1,1.44296594681151,1.518,0.1117,1.3183,1.7543,1,1,1.97661392972742,1.9187,0.1401,1.6684,2.2154,1,1,1.46479650840188,1.5044,0.1116,1.3028,1.7405,1,1,0.1,0.0921,0.0146,0.0647,0.1215,1,1,0.1,0.1367,0.0154,0.1082,0.1685,0,1,0.1,0.0875,0.014,0.0613,0.1164,1,1,0.1,0.0773,0.0137,0.052,0.1054,1,1,1,1.0099,0.0149,0.9814,1.0396,1,1,1,1.0036,0.0148,0.9749,1.0329,1,1,0.3,0.3102,0.011,0.2888,0.3316,1,1,0.3,0.3102,0.011,0.2888,0.3316,1,1
7,3.38008587561722,3.3142,0.119,3.0798,3.5483,1,1,2.6490919557642,2.5628,0.0851,2.3947,2.729,1,1,6.5592497625802,6.5319,0.1704,6.1974,6.8641,1,1,4.79549474076678,4.7352,0.1254,4.4892,4.9807,1,1,8.41991048086296,8.326,0.1965,7.9378,8.7148,1,1,6.27213639876793,6.1318,0.1447,5.8478,6.4167,1,1,9.29394031721092,9.2049,0.2004,8.816,9.6013,1,1,7.10490577112262,6.9765,0.1449,6.6922,7.2601,1,1,9.68083248283218,9.7066,0.204,9.3083,10.1086,1,1,7.54002818053297,7.468,0.1492,7.1741,7.7618,1,1,0.3,0.2809,0.0153,0.2506,0.3113,1,1,0.2,0.2183,0.0132,0.1924,0.2439,1,1,-0.15,-0.1537,0.0155,-0.184,-0.1233,1,1,-0.1,-0.0974,0.0146,-0.1263,-0.069,1,1,1.16975723241009,1.1406,0.0873,0.9824,1.3241,1,1,0.818364051334181,0.7975,0.0635,0.6823,0.9313,1,1,1.77224917802126,1.6735,0.124,1.4512,1.9368,1,1,1.22554713982381,1.2167,0.091,1.0533,1.4101,1,1,1.92749400743346,1.9393,0.1421,1.6819,2.2424,1,1,1.39038469211727,1.3995,0.1034,1.2125,1.6162,1,1,1.96107469695758,1.9811,0.1451,1.7211,2.2903,1,1,1.44296594681151,1.4276,0.1055,1.2392,1.6491,1,1,1.97661392972742,2.0097,0.1478,1.7463,2.3238,1,1,1.46479650840188,1.4659,0.1086,1.2699,1.6969,1,1,0.1,0.1001,0.0149,0.0719,0.1302,1,1,0.1,0.064,0.0121,0.0428,0.0902,0,1,0.1,0.1067,0.0144,0.0796,0.136,1,1,0.1,0.0973,0.0145,0.0703,0.1269,1,1,1,0.9978,0.0147,0.9695,1.0272,1,1,1,1.0354,0.0153,1.0059,1.0658,0,1,0.3,0.3238,0.011,0.3022,0.3455,0,1,0.3,0.3238,0.011,0.3022,0.3455,0,1
8,3.38008587561722,3.2493,0.1063,3.0415,3.4581,1,1,2.6490919557642,2.5473,0.0926,2.3663,2.7282,1,1,6.5592497625802,6.2714,0.162,5.9554,6.591,1,1,4.79549474076678,4.5561,0.1343,4.2928,4.8207,1,1,8.41991048086296,8.1452,0.1813,7.7885,8.5034,1,1,6.27213639876793,6.0293,0.1587,5.7176,6.3405,1,1,9.29394031721092,8.9723,0.1848,8.6081,9.3383,1,1,7.10490577112262,6.8094,0.1613,6.4918,7.1251,1,1,9.68083248283218,9.4144,0.199,9.0225,9.8038,1,1,7.54002818053297,7.2616,0.1661,6.9358,7.5866,1,1,0.3,0.2905,0.0141,0.2628,0.3183,1,1,0.2,0.2216,0.0142,0.1937,0.2494,1,1,-0.15,-0.156,0.0145,-0.1842,-0.1274,1,1,-0.1,-0.0982,0.0165,-0.1307,-0.0658,1,1,1.16975723241009,1.0107,0.079,0.8685,1.178,1,1,0.818364051334181,0.8794,0.0691,0.7554,1.0281,1,1,1.77224917802126,1.5915,0.118,1.3788,1.8412,1,1,1.22554713982381,1.3136,0.0978,1.1378,1.5196,1,1,1.92749400743346,1.7846,0.1309,1.5501,2.0626,1,1,1.39038469211727,1.5591,0.1147,1.3528,1.8032,1,1,1.96107469695758,1.817,0.1341,1.5776,2.1041,1,1,1.44296594681151,1.5803,0.1164,1.3716,1.8268,1,1,1.97661392972742,1.9658,0.1439,1.7072,2.2705,1,1,1.46479650840188,1.6293,0.12,1.4143,1.8832,1,1,0.1,0.0852,0.0143,0.0582,0.1144,1,1,0.1,0.0858,0.0146,0.0582,0.1155,1,1,0.1,0.0947,0.0141,0.068,0.1235,1,1,0.1,0.1247,0.0149,0.0969,0.1553,1,1,1,1.0159,0.0149,0.9872,1.0456,1,1,1,1.0104,0.0149,0.9817,1.04,1,1,0.3,0.3092,0.011,0.2877,0.3308,1,1,0.3,0.3092,0.011,0.2877,0.3308,1,1
9,3.38008587561722,3.4046,0.131,3.1497,3.6642,1,1,2.6490919557642,2.636,0.079,2.4801,2.7904,1,1,6.5592497625802,6.5565,0.2068,6.1514,6.9621,1,1,4.79549474076678,4.8803,0.1118,4.6614,5.0992,1,1,8.41991048086296,8.3555,0.2152,7.9341,8.7771,1,1,6.27213639876793,6.3537,0.1227,6.1113,6.5955,1,1,9.29394031721092,9.1857,0.2183,8.7562,9.6128,1,1,7.10490577112262,7.2391,0.1342,6.9767,7.503,1,1,9.68083248283218,9.6565,0.2135,9.2324,10.0729,1,1,7.54002818053297,7.6736,0.1356,7.4066,7.9393,1,1,0.3,0.2962,0.0147,0.2673,0.3247,1,1,0.2,0.2048,0.0155,0.1743,0.2353,1,1,-0.15,-0.1318,0.0149,-0.1611,-0.1024,1,1,-0.1,-0.0939,0.0143,-0.1222,-0.066,1,1,1.16975723241009,1.2739,0.0963,1.1022,1.4755,1,1,0.818364051334181,0.7291,0.0592,0.622,0.8548,1,1,1.77224917802126,2.0314,0.1486,1.7649,2.346,1,1,1.22554713982381,1.0808,0.0824,0.9324,1.2563,1,1,1.92749400743346,2.1338,0.1544,1.8584,2.4633,1,1,1.39038469211727,1.1925,0.0892,1.0321,1.3811,0,1,1.96107469695758,2.1618,0.1569,1.8799,2.4946,1,1,1.44296594681151,1.3024,0.0969,1.1268,1.508,1,1,1.97661392972742,2.1025,0.1518,1.8301,2.4264,1,1,1.46479650840188,1.3362,0.0997,1.1567,1.5479,1,1,0.1,0.0926,0.0142,0.0659,0.1216,1,1,0.1,0.1055,0.0148,0.0778,0.1357,1,1,0.1,0.1025,0.0142,0.0758,0.1314,1,1,0.1,0.094,0.0142,0.0672,0.1232,1,1,1,0.9862,0.0146,0.9578,1.0152,1,1,1,0.9958,0.0148,0.9672,1.025,1,1,0.3,0.2901,0.0107,0.2692,0.3112,1,1,0.3,0.2901,0.0107,0.2692,0.3112,1,1
10,3.38008587561722,3.2066,0.1083,2.9949,3.4185,1,1,2.6490919557642,2.6119,0.0822,2.4498,2.7737,1,1,6.5592497625802,6.3177,0.172,5.978,6.6565,1,1,4.79549474076678,4.7437,0.1287,4.4907,4.996,1,1,8.41991048086296,8.1709,0.1898,7.7951,8.5404,1,1,6.27213639876793,6.2273,0.143,5.9463,6.5085,1,1,9.29394031721092,9.083,0.1991,8.6919,9.4715,1,1,7.10490577112262,7.03,0.1361,6.7619,7.2957,1,1,9.68083248283218,9.4669,0.1924,9.0865,9.8454,1,1,7.54002818053297,7.4719,0.1342,7.2091,7.7371,1,1,0.3,0.3426,0.015,0.3132,0.372,0,1,0.2,0.1782,0.0165,0.1457,0.2103,1,1,-0.15,-0.1472,0.0152,-0.1771,-0.1173,1,1,-0.1,-0.0923,0.0154,-0.1224,-0.0622,1,1,1.16975723241009,1.0184,0.0804,0.8738,1.1881,1,1,0.818364051334181,0.7751,0.062,0.6632,0.9055,1,1,1.77224917802126,1.6677,0.1249,1.4436,1.9326,1,1,1.22554713982381,1.2564,0.094,1.0875,1.4566,1,1,1.92749400743346,1.8639,0.1365,1.6196,2.1537,1,1,1.39038469211727,1.398,0.1036,1.2127,1.6187,1,1,1.96107469695758,1.944,0.1429,1.6883,2.2492,1,1,1.44296594681151,1.3284,0.0981,1.152,1.5372,1,1,1.97661392972742,1.8889,0.1388,1.6412,2.1858,1,1,1.46479650840188,1.3095,0.0971,1.1357,1.5162,1,1,0.1,0.0984,0.0145,0.0711,0.1277,1,1,0.1,0.1192,0.015,0.0912,0.15,1,1,0.1,0.1095,0.0144,0.0825,0.1386,1,1,0.1,0.1062,0.0148,0.0789,0.1364,1,1,1,1.0373,0.0153,1.0075,1.0675,0,1,1,0.9952,0.0146,0.9672,1.0243,1,1,0.3,0.2951,0.0109,0.2739,0.3167,1,1,0.3,0.2951,0.0109,0.2739,0.3167,1,1
11,3.38008587561722,3.2528,0.1301,2.9982,3.5082,1,1,2.6490919557642,2.6748,0.082,2.5147,2.8371,1,1,6.5592497625802,6.415,0.1784,6.0638,6.7633,1,1,4.79549474076678,4.8482,0.1161,4.6218,5.0745,1,1,8.41991048086296,8.2567,0.1901,7.8832,8.6287,1,1,6.27213639876793,6.3534,0.1409,6.076,6.6304,1,1,9.29394031721092,9.0808,0.1929,8.6998,9.4591,1,1,7.10490577112262,7.1851,0.149,6.8921,7.478,1,1,9.68083248283218,9.4365,0.2035,9.0355,9.8349,1,1,7.54002818053297,7.6433,0.155,7.3403,7.9509,1,1,0.3,0.2548,0.0144,0.2265,0.283,0,1,0.2,0.209,0.0155,0.1787,0.2394,1,1,-0.15,-0.1648,0.0152,-0.1948,-0.1351,1,1,-0.1,-0.0974,0.0144,-0.1258,-0.0691,1,1,1.16975723241009,1.2628,0.095,1.0917,1.4636,1,1,0.818364051334181,0.7686,0.0615,0.6575,0.8978,1,1,1.77224917802126,1.7547,0.1292,1.5235,2.0303,1,1,1.22554713982381,1.1247,0.0849,0.9723,1.3032,1,1,1.92749400743346,1.8735,0.137,1.6292,2.1677,1,1,1.39038469211727,1.3723,0.1016,1.1903,1.5896,1,1,1.96107469695758,1.8968,0.1386,1.6474,2.1882,1,1,1.44296594681151,1.4623,0.108,1.2682,1.6907,1,1,1.97661392972742,2.0054,0.1458,1.7407,2.3112,1,1,1.46479650840188,1.515,0.1119,1.3152,1.7515,1,1,0.1,0.0877,0.0146,0.0601,0.1177,1,1,0.1,0.1059,0.0147,0.0783,0.1359,1,1,0.1,0.1042,0.0144,0.0772,0.1339,1,1,0.1,0.0957,0.0144,0.0687,0.1251,1,1,1,0.9885,0.0145,0.9604,1.0173,1,1,1,0.9897,0.0146,0.9616,1.0186,1,1,0.3,0.2768,0.0107,0.256,0.298,0,1,0.3,0.2768,0.0107,0.256,0.298,0,1
